major,major_name,required_classes
earthsystemscience_bs,Earth System Science,"['EARTHSS1', 'orEARTHSS3', 'orEARTHSS5', 'EARTHSS51', 'EARTHSS53', 'EARTHSS55', 'EARTHSS114', 'orEARTHSS115', 'EARTHSS116', 'EARTHSS192', 'MATH2A', 'MATH2B', 'STATS7', 'CHEM1LC', 'CHEM1LD', 'PHYSICS3LB', 'PHYSICS3LC', 'PHYSICS7C', 'PHYSICS7E', 'PHYSICS7LC', 'BIOSCI93', 'BIOSCI94', 'BIOSCI98', 'CHEM51A', 'CHEM51B', 'CHEM51LB', 'CHEM51C', 'CHEM51LC', 'CHEM141', 'ENGRCEE162', 'ENGRCEE171', 'ENGRCEE172', 'ENGRCEE176', 'ENGRCEE178', 'ENGRMAE91', 'ENGRMAE130A', 'ENGRMAE164', 'MATH2D', 'MATH3A', 'MATH3D', 'MATH105A', 'MATH112A', 'MATH115', 'PHYSICS115A', 'UPPP133', 'UPPP139', 'UPPP145', 'PUBHLTH161', 'PUBHLTH163', 'PUBHLTH167', 'PUBHLTH171', 'PUBHLTH173', 'EARTHSS122', 'EARTHSS124', 'EARTHSS142', 'EARTHSS199', 'EARTHSS118', 'EARTHSS134', 'EARTHSS138', 'EARTHSS132', 'EARTHSS140', 'orEARTHSS133', 'EARTHSS156', 'EARTHSS199', 'EARTHSS118', 'EARTHSS134', 'EARTHSS138', 'EARTHSS130', 'EARTHSS144', 'EARTHSS148', 'EARTHSS171', 'EARTHSS199', 'EARTHSS118', 'EARTHSS138', 'MATH2A', 'MATH2B', 'STATS7', 'CHEM1A', 'CHEM1B', 'CHEM1C', 'CHEM1LC', 'EARTHSS1', 'EARTHSS51', 'EARTHSS53', 'EARTHSS55', 'PHYSICS3A', 'PHYSICS3B', 'PHYSICS3LB', 'PHYSICS3C', 'PHYSICS3LC', 'CHEM1LD', 'EARTHSS114', 'EARTHSS116', 'EARTHSS192', 'CHEM193', 'orPHYSICS193', 'EARTHSS7', 'orEARTHSS140', 'EDUC55', 'EDUC109', 'EDUC143AW', 'EDUC143BW', 'EDUC148', 'EDUC158', 'LPS60', 'PHYSCI5', 'PHYSCI105', 'PHYSICS20A', 'orPHYSICS20B', 'MATH2A', 'MATH2B', 'STATS7', 'CHEM1A', 'CHEM1B', 'CHEM1C', 'CHEM1LC', 'EARTHSS1', 'PHYSICS20A', 'PHYSCI5', 'EARTHSS51', 'EARTHSS53', 'EARTHSS55', 'PHYSICS3A', 'PHYSICS3B', 'PHYSICS3LB', 'PHYSICS3C', 'PHYSICS3LC', 'CHEM1LD', 'CHEM193', 'LPS60', 'PHYSCI105', 'EARTHSS191', 'EARTHSS114', 'EARTHSS116', 'EDUC55', 'EDUC143AW', 'EDUC148', 'EARTHSS192', 'EDUC143BW', 'EDUC109', 'EDUC158', 'EARTHSS140', 'EDUC158']"
eastasiancultures_ba,East Asian Cultures,"['CHINESE2C', 'JAPANSE2C', 'KOREAN2C', 'KOREAN2KC', 'EAS155', 'EAS190', 'EAS15C', 'EAS15J', 'EAS15K', 'ARTHIS151B', 'ARTHIS151C', 'CHINESE40', 'CHINESE100A', 'CHINESE100B', 'CHINESE100C', 'CHINESE115', 'EAS15C', 'EAS15K', 'EAS15J', 'EAS110', 'HISTORY171D', 'HISTORY171E', 'HISTORY171G', 'EAS120', 'EAS123', 'JAPANSE100A', 'JAPANSE100B', 'JAPANSE101A', 'JAPANSE101B', 'ARTHIS162C', 'HISTORY172G', 'EAS130', 'EAS140', 'KOREAN101A', 'HISTORY173G', 'EAS20', 'EAS40', 'EAS55', 'EAS116', 'EAS117', 'EAS126', 'EAS150', 'EAS155', 'EAS160', 'EAS170', 'EAS190', 'EAS192W', 'ARTHIS150', 'RELSTD120']"
ecologyandevolutionarybiology_bs,Ecology and Evolutionary Biology,"['BIOSCI2E', 'BIOSCI4B', 'ECOEVO201', 'STATS8']"
economics_ba,Economics,"['ECON20A', 'ECON20B', 'ECON15A', 'ECON15B', 'MATH2A', 'MATH2B', 'ECON122A']"
education_ba,Education,"['EDUC10', 'EDUC15', 'EDUC25', 'EDUC30', 'EDUC40', 'EDUC50', 'EDUC107', 'EDUC108', 'EDUC146', 'EDUC173', 'EDUC124', 'EDUC147', 'EDUC142', 'EDUC140', 'EDUC144', 'EDUC150', 'EDUC100', 'EDUC101', 'EDUC132', 'EDUC152', 'EDUC160', 'EDUC161', 'EDUC191']"
electricalengineering_bs,Electrical Engineering,"['ENGR1A', 'orCHEM1A', 'EECS55', 'EECS70LA', 'EECS145', 'MATH2A', 'MATH2B', 'MATH2D', 'MATH2E', 'MATH3A', 'MATH3D', 'PHYSICS7C', 'PHYSICS7LC', 'PHYSICS7D', 'PHYSICS7E', 'PHYSICS7LD', 'PHYSICS51A', 'EECS1', 'EECS10', 'EECS31', 'EECS31L', 'EECS50', 'EECS70A', 'EECS70B', 'EECS70LB', 'EECS150', 'EECS159A', 'EECS159B', 'EECS160A', 'EECS160LA', 'EECS170A', 'EECS170LA', 'EECS170B', 'EECS170LB', 'EECS170C', 'EECS170LC', 'EECS180A', 'ENGR190W', 'EECS170D', 'EECS170E', 'EECS166A', 'EECS174', 'EECS176', 'EECS179', 'EECS182', 'EECS188', 'EECS174', 'EECS188', 'PHYSICS52A', 'EECS170D', 'EECS176', 'EECS179', 'EECS180B', 'ENGR54', 'EECS144', 'EECS180B', 'EECS182', 'EECS170D', 'EECS170E', 'EECS188', 'PHYSICS52A', 'EECS22', 'EECS152A', 'EECS152B', 'EECS20', 'EECS101', 'EECS112', 'EECS141A', 'EECS141B', 'EECS141A', 'EECS141B', 'EECS20', 'EECS22', 'EECS144', 'EECS148', 'EECS152A', 'EECS152B', 'EECS170E', 'EECS188']"
english_ba,English,"['ENGLISH8', 'ENGLISH9', 'ENGLISH10', 'ENGLISH11', 'ENGLISH12', 'ENGLISH15', 'ENGLISH16', 'ENGLISH17', 'ENGLISH100', 'ENGLISH101W', 'ENGLISH102A', 'ENGLISH102B', 'ENGLISH102C', 'ENGLISH102D', 'ENGLISH105', 'ENGLISH106']"
environmentalengineering_bs,Environmental Engineering,"['CHEM1A', 'orENGR1A', 'CHEM1B', 'CHEM1C', 'CHEM1LC', 'CHEM1LD', 'CHEM51A', 'ENGRCEE11', 'MATH2A', 'MATH2B', 'MATH2D', 'MATH2E', 'MATH3A', 'MATH3D', 'PHYSICS7C', 'PHYSICS7LC', 'PHYSICS7D', 'PHYSICS7LD', 'CBE40A', 'EECS70A', 'ENGR7A', 'ENGR7B', 'ENGR54', 'ENGRCEE80', 'orENGRMAE80', 'ENGRCEE20', 'ENGRCEE21', 'ENGRCEE30', 'ENGRCEE81A', 'ENGRCEE81B', 'ENGRMAE91', 'ENGRCEE110', 'ENGRCEE130', 'ENGRCEE130L', 'ENGRCEE150', 'ENGRCEE150L', 'ENGRCEE160', 'ENGRCEE162', 'ENGRCEE170', 'ENGRCEE171', 'ENGRCEE172', 'ENGRCEE173', 'ENGRCEE176', 'ENGRCEE178', 'ENGRCEE163', 'ENGRCEE164', 'ENGRCEE165', 'ENGRCEE166', 'ENGRCEE168', 'ENGRCEE169', 'EARTHSS112', 'ENGRCEE168', 'ENGRMAE110', 'ENGRMAE115', 'ENGRMAE164', 'ENGRCEE40', 'ECON20A', 'ECON20B', 'ENGR190W', 'ENGRCEE60', 'orUPPP8']"
europeanstudies_ba,European Studies,"['EUROST9', 'EUROST10', 'EUROST11', 'EUROST12', 'EUROST13', 'HISTORY70B', 'FRENCH50', 'ITALIAN50', 'RUSSIAN50', 'FRENCH1C', 'orFRENCH1BC', 'orFRENCH1BCSP', 'GERMAN1C', 'orGERMAN1BC', 'ITALIAN1C', 'orITALIAN1BC', 'orITALIAN1BCSP', 'RUSSIAN1C', 'orRUSSIAN1BC', 'EUROST100A', 'EUROST100B', 'EUROST100C', 'EUROST102', 'EUROST103', 'FRENCH150', 'GERMAN150', 'ITALIAN150', 'RUSSIAN150', 'EUROST139W', 'FRENCH139W', 'GERMAN139W', 'RUSSIAN139W']"
exercisesciences_bs,Exercise Sciences,[]
filmandmediastudies_ba,Film and Media Studies,"['FLM&MDA85A', 'FLM&MDA85B', 'FLM&MDA85C', 'FLM&MDA101A', 'FLM&MDA101B', 'FLM&MDA101C', 'FLM&MDA110', 'FLM&MDA111', 'FLM&MDA117A', 'FLM&MDA118A', 'FLM&MDA120A', 'FLM&MDA112', 'FLM&MDA113', 'FLM&MDA115', 'FLM&MDA117B', 'FLM&MDA117C', 'FLM&MDA118B', 'FLM&MDA120B', 'FLM&MDA120C', 'FLM&MDA130', 'FLM&MDA139W', 'FLM&MDA143', 'FLM&MDA144', 'FLM&MDA145', 'FLM&MDA146', 'FLM&MDA150', 'FLM&MDA151', 'FLM&MDA160', 'FLM&MDA161', 'FLM&MDA162', 'FLM&MDA185', 'FLM&MDA190', 'FLM&MDA191', 'FLM&MDA192', 'FLM&MDA193', 'FLM&MDA194']"
french_ba,French,"['FRENCH102A', 'FRENCH102B', 'FRENCH102C', 'FRENCH102D', 'FRENCH102E']"
gamedesignandinteractivemedia_bs,Game Design and Interactive Media,"['GDIM25', 'GDIM27', 'GDIM31', 'GDIM32', 'GDIM33', 'GDIM41', 'GDIM49', 'GDIM51', 'GDIM53', 'GDIM55', 'GDIM61', 'STATS6', 'GDIM129', 'GDIM131', 'GDIM161', 'GDIM167A', 'GDIM167B', 'GDIM127', 'GDIM165', 'GDIM49', 'GDIM127', 'GDIM129', 'GDIM139', 'GDIM149', 'GDIM163', 'GDIM165', 'I&CSCI33', 'STATS7', 'STATS67']"
genderandsexualitystudies_ba,Gender and Sexuality Studies,"['GEN&SEX50A', 'GEN&SEX20', 'GEN&SEX50B', 'GEN&SEX50C', 'GEN&SEX60A', 'GEN&SEX60B', 'GEN&SEX60C', 'GEN&SEX100A', 'GEN&SEX100B', 'GEN&SEX100D', 'GEN&SEX110A', 'GEN&SEX110B', 'GEN&SEX110D', 'GEN&SEX120A', 'GEN&SEX120B', 'GEN&SEX120C', 'GEN&SEX197']"
genetics_bs,Genetics,[]
germanstudies_ba,German Studies,"['GERMAN101', 'GERMAN102', 'GERMAN103', 'GERMAN104', 'GERMAN105', 'GERMAN115', 'GERMAN120', 'GERMAN197', 'GERMAN150', 'GERMAN160', 'GERMAN170', 'EUROST9', 'EUROST10', 'EUROST11', 'EUROST12', 'EUROST13', 'EUROST101A', 'EUROST101B', 'LSCI3']"
globalcultures_ba,Global Cultures,"['HISTORY21A', 'HISTORY21B', 'HISTORY21C', 'GLBLCLT103A', 'GLBLCLT103B', 'GLBLCLT191']"
globalmiddleeaststudies_ba,Global Middle East Studies,['GLBLME100W']
history_ba,History,"['HISTORY70A', 'HISTORY70B', 'HISTORY70C', 'HISTORY70D', 'HISTORY70E', 'HISTORY70F', 'HISTORY100W', 'HISTORY190']"
informatics_bs,Informatics,"['I&CSCI45J', 'I&CSCI6B', 'STATS7', 'orSTATS67', 'IN4MATX100–190', 'MGMT1', 'MGMT102', 'MGMT107', 'MGMT173', 'MGMT178', 'PSCI9', 'PSCI104S', 'SOCIOL41', 'SOCIOL135', 'SOCIOL141', 'SOCIOL143', 'IN4MATX100–190', 'IN4MATX100–190', 'COMPSCI100–199', 'COMPSCI111', 'COMPSCI122A', 'COMPSCI131', 'COMPSCI134', 'COMPSCI145', 'COMPSCI171', 'COMPSCI178', 'PUBHLTH1', 'PUBHLTH2', 'PUBHLTH91', 'PUBHLTH101', 'PUBHLTH122', 'PUBHLTH127', 'PUBHLTH125']"
internationalstudies_ba,International Studies,"['INTLST1', 'INTLST11', 'INTLST12', 'INTLST15', 'INTLST16', 'INTLST17', 'ANTHRO2A', 'HISTORY21A', 'HISTORY21B', 'HISTORY21C', 'INTLST13', 'INTLST14', 'POLSCI51A', 'SOCSCI5D', 'SOCIOL2', 'INTLST100', 'INTLST101A', 'INTLST101B', 'INTLST102A', 'INTLST103A', 'INTLST104A', 'INTLST104BW', 'INTLST106A', 'INTLST106B', 'INTLST146', 'INTLST148W', 'INTLST150', 'INTLST155', 'INTLST163']"
japaneselanguageandliterature_ba,Japanese Language and Literature,"['JAPANSE3C', 'EAS15J', 'EAS190', 'JAPANSE100A', 'JAPANSE100B', 'JAPANSE101A', 'JAPANSE101B', 'EAS120', 'EAS123', 'JAPANSE100A', 'JAPANSE100B', 'JAPANSE101A', 'JAPANSE101B', 'ARTHIS162C', 'HISTORY172G', 'SOCSCI178E']"
koreanliteratureandculture_ba,Korean Literature and Culture,"['KOREAN3C', 'EAS15K', 'EAS130', 'EAS140', 'EAS190', 'EAS20', 'EAS40', 'EAS55', 'EAS116', 'EAS117', 'EAS130', 'EAS140', 'EAS160', 'EAS170', 'KOREAN101A', 'EAS110', 'EAS116', 'EAS120', 'EAS150', 'HISTORY173G']"
languagescience_ba,Language Science,"['LSCI3', 'LSCI10', 'LSCI20', 'LSCI43', 'LSCI51', 'LSCI164A', 'LSCI164B', 'LSCI165B', 'LSCI172', 'SPANISH113A', 'SPANISH113B', 'GERMAN104', 'LSCI102', 'LSCI142', 'LSCI145A', 'LSCI1', 'LSCI2', 'LSCI68', 'LSCI111', 'LSCI115', 'LSCI121', 'LSCI143', 'LSCI145B', 'LSCI145C', 'LSCI158', 'LSCI168J', 'LSCI168S', 'LSCI119', 'LSCI124', 'LSCI129', 'LSCI141', 'LSCI149', 'LSCI176', 'SPANISH187', 'LSCI151', 'LSCI151B', 'LSCI151S', 'LSCI159', 'LSCI165L', 'LSCI175', 'LSCI107M', 'LSCI109', 'COMPSCI142A', 'COMPSCI142B', 'COMPSCI171', 'COMPSCI177', 'PSYCH131B', 'PSYCH161H', 'EDUC134', 'EDUC151', 'BME148', 'DRAMA35', 'JAPANSE100A', 'JAPANSE100B']"
literaryjournalism_ba,Literary Journalism,"['LITJRN20', 'LITJRN21', 'LITJRN100', 'ENGLISH8', 'ENGLISH9', 'ENGLISH10', 'ENGLISH11', 'ENGLISH12', 'ENGLISH15', 'ENGLISH16', 'ENGLISH17', 'ENGLISH105', 'LITJRN101A', 'LITJRN101BW']"
materialsscienceandengineering_bs,Materials Science and Engineering,"['ENGR1A', 'orCHEM1A', 'CHEM1B', 'CHEM1C', 'CHEM1LC', 'MATH2A', 'MATH2B', 'MATH2D', 'MATH3A', 'MATH3D', 'MATH2E', 'PHYSICS7C', 'PHYSICS7LC', 'PHYSICS7D', 'PHYSICS7E', 'PHYSICS7LD', 'MSE60', 'MSE69', 'MSE151', 'MSE155', 'MSE155L', 'MSE158', 'MSE164', 'MSE164L', 'MSE165A', 'MSE165B', 'MSE165C', 'MSE165CL', 'MSE175', 'MSE190', 'EECS70A', 'orENGRMAE60', 'ENGR54', 'ENGR150', 'orENGRMAE150', 'ENGRMAE10', 'ENGRMAE30', 'orENGR30', 'orENGRCEE30', 'ENGRMAE150L', 'BIOSCI93', 'BME50A', 'BME50B', 'EECS70B', 'ENGR7A', 'ENGR7B', 'ENGRMAE52', 'ENGRMAE80', 'orENGRCEE80', 'orENGR80', 'PHYSICS52A', 'STATS7', 'BME110B', 'BME111', 'BME120', 'CBE187', 'EECS170A', 'EECS174', 'EECS176', 'ENGR165', 'ENGRMAE114', 'ENGRMAE117', 'ENGRMAE118', 'ENGRMAE145', 'ENGRMAE147', 'ENGRMAE151B', 'ENGRMAE153', 'ENGRMAE157', 'MSE141', 'MSE142', 'MSE171', 'MSE178', 'MSE174', 'orENGRMAE155', 'MSE176', 'MSE199', 'ENGR190W', 'CBE187', 'ENGR165', 'ENGRMAE153', 'MSE171', 'MSE178', 'MSE174', 'ENGRMAE114', 'ENGRMAE117', 'ENGRMAE118', 'MSE141', 'MSE171', 'BME110B', 'BME111', 'BME120', 'ENGRMAE153', 'CBE187', 'EECS170A', 'EECS174', 'EECS176', 'MSE141', 'MSE176', 'ENGR165', 'MSE178', 'MSE174', 'ENGRMAE145', 'ENGRMAE147', 'ENGRMAE155', 'ENGRMAE157']"
mathematics_bs,Mathematics,"['MATH2A', 'MATH2B', 'MATH2D', 'MATH3A', 'MATH3D', 'MATH13', 'MATH9', 'MATH120A', 'MATH121A', 'MATH130A', 'MATH140A', 'MATH140B', 'MATH2E', 'MATH120B', 'MATH121B', 'MATH147', 'MATH2A', 'MATH2B', 'MATH2D', 'MATH13', 'MATH3A', 'MATH3D', 'MATH2E', 'MATH9', 'MATH130A', 'MATH140A', 'MATH140B', 'MATH120A', 'MATH120B', 'MATH141', 'MATH121A', 'MATH121B', 'MATH115', 'MATH150', 'MATH147', 'MATH112A', 'MATH180A', 'MATH2E', 'MATH10', 'STATS7', 'PHYSICS7C', 'MATH105A', 'MATH105B', 'MATH105LA', 'MATH105LB', 'MATH121B', 'MATH130B', 'MATH110A', 'MATH110B', 'MATH120B', 'MATH147', 'MATH115', 'MATH117', 'MATH118', 'MATH130C', 'MATH134A', 'MATH134B', 'MATH140C', 'MATH162A', 'MATH162B', 'MATH173A', 'MATH173B', 'MATH175', 'MATH176', 'STATS110', 'COMPSCI171', 'COMPSCI172B', 'COMPSCI177', 'COMPSCI178', 'COMPSCI179', 'COMPSCI183', 'COMPSCI184A', 'COMPSCI184C', 'MATH2A', 'MATH2B', 'MATH3A', 'STATS7', 'PHYSICS7C', 'MATH9', 'MATH2D', 'MATH2E', 'MATH3D', 'MATH13', 'MATH10', 'MATH105A', 'MATH105LA', 'MATH105B', 'MATH105LB', 'MATH120A', 'MATH121A', 'MATH121B', 'MATH130A', 'MATH130B', 'MATH120B', 'MATH110A', 'MATH110B', 'MATH140A', 'MATH140B', 'MATH147', 'MATH2E', 'MATH10', 'STATS7', 'PHYSICS7C', 'MATH120B', 'MATH121B', 'MATH130B', 'MATH130C', 'MATH134A', 'MATH134B', 'MATH134C', 'MATH147', 'MATH105A', 'MATH105B', 'MATH110A', 'MATH173A', 'MATH176', 'COMPSCI171', 'COMPSCI172B', 'COMPSCI177', 'COMPSCI178', 'ECON20A', 'ECON20B', 'ECON122A', 'orECON123A', 'ECON132A', 'ECON134A', 'orECON161A', 'MATH2A', 'MATH2B', 'MATH2D', 'STATS7', 'MATH9', 'MATH10', 'MATH13', 'MATH2E', 'MATH3A', 'MATH3D', 'ECON20A', 'ECON20B', 'PHYSICS7C', 'MATH130A', 'MATH130B', 'MATH130C', 'MATH140A', 'MATH140B', 'MATH140C', 'ECON105A', 'ECON105B', 'ECON105C', 'MATH121A', 'MATH121B', 'MATH134A', 'MATH134B', 'MATH134C', 'MATH120A', 'MATH176', 'MATH121A', 'ECON134A', 'ECON132A', 'MATH147', 'MATH2E', 'MATH105A', 'MATH105B', 'MATH112A', 'MATH112B', 'MATH115', 'MATH121B', 'MATH107', 'MATH110A', 'MATH110B', 'MATH112C', 'MATH117', 'MATH118', 'MATH130B', 'MATH130C', 'MATH134A', 'MATH134B', 'MATH140C', 'MATH176', 'MATH2A', 'MATH2B', 'MATH2D', 'MATH13', 'MATH2E', 'MATH3A', 'MATH3D', 'MATH9', 'MATH112A', 'MATH112B', 'MATH115', 'MATH121A', 'MATH121B', 'MATH140B', 'MATH130A', 'MATH140A', 'MATH105A', 'MATH105LA', 'MATH105B', 'MATH105LB', 'MATH107', 'MATH107L', 'MATH117', 'MATH118', 'MATH120A', 'MATH2E', 'BIOSCI93', 'BIOSCI94', 'BIOSCI97', 'CHEM1A', 'CHEM1B', 'PHYSICS2', 'PHYSICS7C', 'PHYSICS7D', 'MATH105A', 'MATH105B', 'MATH112A', 'MATH112B', 'MATH113A', 'MATH113B', 'MATH115', 'MATH2A', 'MATH2B', 'MATH2D', 'BIOSCI93', 'BIOSCI94', 'MATH13', 'MATH2E', 'MATH3A', 'MATH3D', 'CHEM1A', 'CHEM1B', 'MATH9', 'MATH113A', 'MATH113B', 'MATH115', 'MATH105A', 'MATH105LA', 'MATH105B', 'MATH105LB', 'MATH121A', 'MATH140A', 'MATH140B', 'MATH112A', 'MATH112B', 'MATH115', 'MATH130A', 'MATH120A', 'MATH8', 'MATH105A', 'MATH105LA', 'MATH120B', 'MATH130B', 'MATH150', 'MATH161', 'MATH180A', 'MATH184', 'MATH184L', 'PHYSCI5', 'PHYSCI105', 'MATH2A', 'MATH2B', 'MATH2D', 'MATH13', 'MATH3A', 'MATH3D', 'MATH8', 'PHYSCI5', 'PHYSCI105', 'MATH121A', 'MATH9', 'MATH130A', 'MATH130B', 'MATH161', 'MATH140A', 'MATH120A', 'MATH120B', 'MATH140B', 'MATH105A', 'MATH105LA', 'MATH180A', 'MATH184', 'MATH184L', 'MATH150', 'MATH8', 'MATH105A', 'MATH105LA', 'MATH120B', 'MATH130B', 'MATH150', 'MATH161', 'MATH180A', 'MATH184', 'MATH184L', 'CHEM193', 'orPHYSICS193', 'EDUC55', 'EDUC109', 'EDUC143AW', 'EDUC143BW', 'EDUC148', 'EDUC158', 'PHYSCI5', 'PHYSCI105', 'MATH2A', 'MATH2B', 'MATH2D', 'PHYSCI5', 'MATH13', 'MATH8', 'MATH9', 'MATH3A', 'MATH3D', 'MATH161', 'PHYSCI105', 'MATH180A', 'MATH121A', 'CHEM193', 'MATH130A', 'MATH130B', 'MATH184', 'MATH184L', 'MATH140A', 'MATH120A', 'MATH120B', 'EDUC55', 'MATH140B', 'EDUC148', 'EDUC143AW', 'MATH105A', 'MATH105LA', 'EDUC109', 'EDUC158', 'MATH150', 'EDUC158', 'EDUC143BW']"
mechanicalengineering_bs,Mechanical Engineering,"['CHEM1A', 'orENGR1A', 'CHEM1LE', 'MATH2A', 'MATH2B', 'MATH2D', 'MATH2E', 'MATH3A', 'MATH3D', 'PHYSICS7C', 'PHYSICS7LC', 'PHYSICS7D', 'PHYSICS7E', 'PHYSICS7LD', 'PHYSICS52A', 'ENGR54', 'ENGRMAE10', 'ENGRMAE30', 'ENGRMAE52', 'ENGRMAE60', 'orEECS70A', 'ENGRMAE80', 'ENGRMAE91', 'ENGRMAE106', 'ENGRMAE107', 'ENGRMAE112', 'orENGRMAE115', 'ENGRMAE120', 'ENGRMAE130A', 'ENGRMAE130B', 'ENGRMAE145', 'ENGRMAE147', 'ENGRMAE150', 'ENGRMAE150L', 'ENGRMAE151A', 'ENGRMAE151B', 'ENGRMAE155', 'orENGRMAE156', 'orENGRMAE157', 'ENGRMAE170', 'ECON20A', 'orECON23', 'ENGR190W', 'ENGRMAE112', 'ENGRMAE135', 'ENGRMAE136', 'ENGRMAE158', 'ENGRMAE159', 'ENGRMAE175', 'ENGRMAE110', 'ENGRMAE112', 'ENGRMAE114', 'ENGRMAE115', 'ENGRMAE117', 'ENGRMAE118', 'ENGRMAE164', 'ENGRMAE110', 'ENGRMAE112', 'ENGRMAE113', 'ENGRMAE132', 'ENGRMAE135', 'ENGR165', 'ENGRMAE152', 'ENGRMAE171', 'ENGRMAE172', 'ENGRMAE183', 'ENGRMAE188']"
microbiologyandimmunology_bs,Microbiology and Immunology,['MOLBIO205']
music_ba,Music,"['MUSIC15', 'MUSIC16D', 'MUSIC40B', 'MUSIC40C', 'MUSIC40D', 'MUSIC65–70', 'MUSIC51', 'MUSIC131', 'MUSIC132', 'MUSIC136', 'MUSIC147', 'MUSIC150', 'MUSIC151', 'MUSIC152', 'MUSIC153', 'MUSIC155', 'MUSIC157', 'MUSIC183A', 'MUSIC183B', 'MUSIC183C', 'MUSIC189', 'AFAM143', 'AFAM144', 'MUSIC4', 'MUSIC8', 'MUSIC9', 'MUSIC41', 'MUSIC42', 'MUSIC44', 'MUSIC45', 'MUSIC48', 'MUSIC78', 'MUSIC82A', 'MUSIC82B', 'MUSIC82C', 'MUSIC140', 'MUSIC141', 'MUSIC142', 'MUSIC143', 'MUSIC144', 'MUSIC145', 'MUSIC146', 'MUSIC148', 'MUSIC149', 'MUSIC156A', 'MUSIC156B', 'MUSIC181', 'MUSIC21A', 'MUSIC21B', 'MUSIC21C', 'MUSIC158A', 'MUSIC158B', 'MUSIC158C', 'MUSIC160', 'MUSIC161', 'MUSIC162', 'MUSIC164', 'MUSIC171', 'MUSIC176', 'MUSIC178', 'MUSIC182', 'MUSIC193', 'MUSIC197']"
neurobiology_bs,Neurobiology,[]
nursingscience_bs,Nursing Science,"['BIOSCI93', 'BIOSCI97', 'PHRMSCI120', 'PHRMSCI120L', 'PUBHLTH1', 'PHILOS4', 'PHILOS5', 'PSCI9', 'PSYCH7A', 'ANTHRO2A', 'ANTHRO2D', 'ANTHRO41A', 'SOCSCI1A', 'SOCIOL1', 'SOCIOL2', 'SOCIOL3', 'SOCIOL31', 'SOCIOL44', 'SOCIOL62', 'PSYCH10A', 'SOCSCI10A', 'SOCIOL10A', 'STATS7', 'STATS8', 'NURSCI50', 'NURSCI101', 'NURSCI108W', 'NURSCI109A', 'NURSCI109B', 'NURSCI116', 'NURSCI117', 'NURSCI119', 'NURSCI121A', 'NURSCI121B', 'NURSCI125', 'NURSCI128', 'NURSCI173', 'NURSCI172', 'NURSCI174', 'NURSCI176', 'NURSCI171', 'NURSCI175', 'NURSCI179AW', 'NURSCI179B']"
pharmaceuticalsciences_bs,Pharmaceutical Sciences,"['CHEM1LC', 'CHEM1LD', 'MATH2A', 'MATH2B', 'MATH2D', 'MATH3A', 'STATS7', 'STATS8', 'BIOSCI93', 'BIOSCI94', 'BIOSCI97', 'BIOSCI98', 'BIOSCI99', 'PHRMSCI1', 'PHRMSCI42', 'PHRMSCI76', 'BIOSCI100', 'PHRMSCI170A', 'PHRMSCI170B', 'PHRMSCI171', 'PHRMSCI172', 'PHRMSCI173', 'PHRMSCI174', 'PHRMSCI174L', 'PHRMSCI177', 'PHRMSCI177L', 'CHEM107', 'CHEM107L', 'CHEM125', 'CHEM128', 'CHEM128L', 'CHEM138', 'CHEM156', 'CHEM160']"
philosophy_ba,Philosophy,"['PHILOS1', 'PHILOS2', 'PHILOS3', 'PHILOS4', 'PHILOS5', 'PHILOS30', 'PHILOS104', 'PHILOS10', 'PHILOS12', 'PHILOS13', 'PHILOS101', 'PHILOS102W', 'PHILOS103', 'PHILOS100W', 'PHILOS105–199']"
