shortened_name,name,ucinetid,department
"DOOLEY, C.",C David Dooley,cddooley,Psychological Science
"DOROUDI, S.",Shayan Doroudi,doroudis,Education
"DOSHER, B.",Barbara Dosher,bdosher,Cognitive Science
"DOURISH, J.",James Paul Dourish,jpd,Informatics
"DOWELL, N.",Nia Dowell,dowelln,Education
"DOWNING, T.",Timothy L Downing,tldownin,Biomedical Engineering
"DRUFFEL, E.",Ellen Druffel,edruffel,Earth System Science
"DUBEY, J.",Jaya Dubey,jdubey,English
"DUCKLES, S.",Sue P Duckles,spduckle,Pharmaceutical Sciences
"DUFFY, J.",John Duffy,duffy,Economics
"DUNCAN, G.",Greg John Duncan,gduncan,Education
"DUNN-RANKIN, D.",Derek Dunn-Rankin,ddunnran,Mechanical & Aerospace Engineering
"DURBIN, H.",Holly Poe Durbin,hdurbin,Arts-Drama
"DURKIN, A.",Anthony Joseph Durkin,adurkin,Biomedical Engineering
"DUTT, N.",Nikil D Dutt,dutt,Computer Science
"DZYALOSHINSKII, I.",Igor Dzyaloshinskii,iedzyalo,Physics and Astronomy
"Dardashti, A.",Abigail Lapin Dardashti,alapinda,Art History
"EARTHMAN, J.",James C Earthman,earthman,Materials Science and Engineering
"EASON, K.",Kathryn Eason,keason,English
"EASON, L.",Loren Philip Eason,leason,English
"ECCLES, J.",Jacquelynne Sue Eccles,jseccles,Education
"EDINGER, A.",Aimee Lara Edinger,aedinger,Developmental and Cell Biology
"EDWARDS, K.",Karen L Edwards,kedward1,Epidemiology & Biostats Faclty
"EDWARDS, K.",Kimberly D Edwards,kdmullen,Chemistry
"EDWARDS, R.",Rufus D Edwards,edwardsr,Epidemiology & Biostats Faclty
"EGERSTEDT, M.",Magnus Bertil Egerstedt,magnus,Henry Samueli School of Engineering
"EGOH, B.",Benis Egoh,begoh,Earth System Science
"EKLOF, P.",Paul C Eklof,pceklof,Mathematics
"EL ZARKI, M.",Magda S El Zarki,elzarki,Computer Science
"ELGHOBASHI, S.",Said E Elghobashi,selghoba,Mechanical & Aerospace Engineering
"ELMALAKI, S.",Salma Elmalaki,selmalak,Electrical Engineering & Computer Science
"ELTAWIL, A.",Ahmed Eltawil,aeltawil,Electrical Engineering & Computer Science
"EMERSON, J.",James Jordan Emerson,jje,Ecology & Evolutionary Biology
"ENCISO RUIZ, G.",German Andres Enciso Ruiz,enciso,Mathematics
"ENRIQUEZ, L.",Laura Enriquez,lenriqu1,Chicano/Latino Studies
"EOM, D.",Dae Seok Eom,dseom,Developmental and Cell Biology
"EPPSTEIN, D.",David A Eppstein,eppstein,Computer Science
"EPSTEIN, D.",Daniel Epstein,epstein,Informatics
"ESFANDYARPOUR, R.",Rahim Esfandyarpour,rahimes,Electrical Engineering & Computer Science
"EVANGELISTA, L.",Lorraine S Evangelista,evangell,Sue & Bill Gross School of Nursing
"EVANS, D.",Dennis Evans,devans,Education
"EVANS, G.",Gregory Randolph Evans,gevans,SOM - Plastic Surgery
"EVANS, W.",William J Evans,wevans,Chemistry
"EVERS, K.",Kai Evers,kevers,European Languages and Studies
"Entsuah, N.",Nana Entsuah,nentsuah,Clinical Pharmacy Practice
"Es, E.",Elizabeth A Van Es,evanes,Education
"FAHS, A.",Alice Fahs,afahs,History
"FAIOLA, C.",Celia Louise Braun Faiola,cfaiola,Ecology & Evolutionary Biology
"FAN, H.",Hung Y Fan,hyfan,Office of Research
"FARBMAN, H.",Herschel John Farbman,hfarbman,Comparative Literature
"FARKAS, G.",George Andrew Farkas,gfarkas,Sociology
"FARMER, S.",Sarah Bennett Farmer,sfarmer,History
"FAULKNER, C.",Clifford L Faulkner,clfaulkn,Arts-Drama
"FAUST, K.",Katherine Faust,kfaust,Sociology
"FEDEROFF, H.",Howard J Federoff,federoff,SOM - Neurology
"FEDMAN, D.",David Fedman,dfedman,History
"FELDMAN, D.",David L Feldman,feldmand,Urban Planning & Public Policy
"FELDMAN, J.",Julian Feldman,jfeldman,Informatics
"FELDMAN, M.",Martha S Feldman,feldmanm,Urban Planning & Public Policy
"FELDSTEIN, P.J.",Paul J Feldstein,pfeldste,Paul Merage School of Business
"FENG, J.",Jonathan Lee Feng,jlf,Physics and Astronomy
"FERBER, A.",Asaf Ferber,asaff,Mathematics
"FERGUSON, J.",Julie Elizabeth Ferguson,jefergus,Earth System Science
"FERNANDEZ, N.",Nohema Fernandez,fernandn,Arts-Music
"FERNANDEZ, R.",Raul A Fernandez,rafernan,Social Sciences Undergraduate Student Affairs
"FIELDING, G.J.",Gordon J Fielding,gjfieldi,School of Social Sciences
"FIGOTIN, A.",Aleksandr Figotin,afigotin,Mathematics
"FINKELDEI, S.",Sarah C Finkeldei,sfinkeld,Chemistry
"FINKELSTEIN, M.",Mark Finkelstein,mfinkels,Center for Educational Partnerships
"FIOCCO, M.",Marcello Oreste Fiocco,mfiocco,Philosophy
"FISCHER, A.",Anita W Fischer,afischer,English
"FISHER, J.",Jennifer J Fisher,jjfisher,Arts-Dance
"FISHER, M.",Mark J Fisher,mfisher,SOM - Neurology
"FISK, Z.",Zachary Fisk,zfisk,Physics and Astronomy
"FLANAGAN, L.",Lisa A Flanagan,lflanaga,SOM - Neurology
"FLEISCHER, V.",Victor E Fleischer,vfleisch,School of Law
"FLOREA, A.",Alexandra Florea,floreaa,Mathematics
"FLORES, G.",Glenda M Flores,gmflores,Chicano/Latino Studies
"FLORES, R.",Ryuko A Flores,floresra,East Asian Studies
"FOREMAN, M.",Matthew D Foreman,mdforema,Mathematics
"FORTHAL, D.",Donald N Forthal,dnfortha,SOM - Department of Medicine
"FORTIER, M.",Michelle A Fortier,mfortier,Sue & Bill Gross School of Nursing
"FORTIN, N.",Norbert Fortin,nfortin,Neurobiology and Behavior
"FORTUN, K.",Kim Fortun,kfortun,Anthropology
"FORTUN, M.",Michael Fortun,fortunm,Anthropology
"FOUFOULA, E.",Efi Foufoula,efi,Civil & Environmental Engineering
"FOWLER, C.",Christie D Fowler,cdfowler,Neurobiology and Behavior
"FOWLER, E.",Edward B Fowler,ebfowler,East Asian Studies
"FOWLER, K.",Keith Fowler,fowler,Arts-Drama
"FOWLKES, C.",Charless C Fowlkes,fowlkes,Computer Science
"FOX, R.",Roy Fox,royf,Computer Science
"FRANCO, S.",Sofia Franco,sofiaf1,Economics
"FRANK, D.",David John Frank,frankd,Sociology
"FRANK, R.",Richard I Frank,rifrank,Classics
"FRANK, S.",Steven A Frank,safrank,Ecology & Evolutionary Biology
"FRANZ, M.",Michael Franz,franz,Computer Science
"FREEDMAN, M.",Matthew L Freedman,mlfreedm,Economics
"FREEMAN, F.",Fillmore Freeman,ffreeman,Chemistry
"FRIED, M.",Michael D Fried,mfried,Mathematics
"FROEHLICH, M.",Marcia Grace Froehlich,mgfroehl,Arts-Drama
"FROST, D.",Daniel H Frost,frost,Computer Science
"FROSTIG, R.",Ron Frostig,rfrostig,Neurobiology and Behavior
"FRUEHAUF, J.",John P Fruehauf,jfruehau,SOM - Department of Medicine
"FRUMAN, D.",David A Fruman,dfruman,Molecular Biology & Biochemistry
"FUENTES LOPEZ, J.",Jose Antonio Rodriguez Lopez,jantonio,Economics
"FUJII, J.",James A Fujii,jafujii,East Asian Studies
"FUJITA-RONY, D.",Dorothy B Fujita-Rony,dfr,Asian American Studies
"FULLER, M.",Michael A Fuller,mafuller,East Asian Studies
"FURCHE, F.",Filipp Ulrich Furche,ffurche,Chemistry
"FUTRELL, R.",Richard Futrell,rfutrell,Language Science
"Fedoruk, M.",Marion J Fedoruk,mjfedoru,Occupational & Environ Health
"Finlayson-Pitts, B.",Barbara J Finlayson-Pitts,bjfinlay,Chemistry
"Fosket, D.",Donald E Fosket,defosket,Developmental and Cell Biology
"GAGO MASAGUE, S.",Sergio Gago Masague,sgagomas,Computer Science
"GAJSKI, D.",Daniel D Gajski,gajski,Center For Embedded Cyber-Physical Systems
"GALL, C.",Christine M Gall,cmgall,SOM - Anatomy & Neurobiology
"GAMBER, J.",John Blair Gamber,jgamber,Comparative Literature
"GAMERO CASTANO, M.",Manuel Gamero Castano,mgameroc,Mechanical & Aerospace Engineering
"GANDHI, S.",Sunil Pravinchandra Gandhi,spgandhi,Neurobiology and Behavior
"GARCIA, J.",Joshua Nathaniel Garcia,joshug4,Informatics
"GARDE, A.",Ajay Garde,agarde,Urban Planning & Public Policy
"GARDINER, D.",David M Gardiner,dmgardin,Developmental and Cell Biology
"GARFIN, D.",Dana Rose Garfin,dgarfin,"Health, Society and Behavior"
"GARFINKEL, M.",Michelle R Garfinkel,mrgarfin,Economics
"GARRISON, J.",Jessica Debats Garrison,jdgarris,Urban Planning & Public Policy
"GARTH, B.",Bryant Geoffrey Garth,bgarth,School of Law
"GASSKO, I.",Irene Gassko,igassko,Computer Science
"GATLIN NASH, B.",Brandy Tenille Gatlin Nash,gatlinb,Education
"GAUDIOT, J.",Jean-Luc Gaudiot,gaudiot,Electrical Engineering & Computer Science
"GAUT, B.",Brandon Stuart Gaut,bgaut,Ecology & Evolutionary Biology
"GE, N.",Nien-Hui Ge,nhge,Chemistry
"GEARHART, S.",Suzanne Gearhart,sgearhar,European Languages and Studies
"GEE, K.",Kelvin W Gee,kwgee,Pharmaceutical Sciences
"GELLER, A.",AMANDA GELLER,agellers,"Criminology, Law & Society"
"GELLEY, A.",Alexander Gelley,agelley,Comparative Literature
"GEORGIANNA, L.",Linda M Georgianna,lmgeorgi,English
"GEORGIOU, T.",Tryphon Georgiou,tryphon,Mechanical & Aerospace Engineering
"GERBER, R.",Robert B Gerber,bgerber,Chemistry
"GERMAN, D.",Donovan P German,dgerman,Ecology & Evolutionary Biology
"GERSHON, P.",Paul David Gershon,pgershon,Molecular Biology & Biochemistry
"GERSTLER, A.",Amy Gerstler,agerstle,English
"GERVAIS, M.",Michel Gervais,mgervais,Arts-Dance
"GEVER, M.",Martha Gever,mgever,Arts-Studio Art
"GIDEONSE, T.",Theodore K Gideonse,tgideons,"Health, Society and Behavior"
"GILBERT, M.",Margaret P Gilbert,mpgilber,Philosophy
"GILLEN, D.",Daniel L Gillen,dgillen,Statistics
"GILLY GRAHAM, M.",Mary Gilly Graham,mcgilly,Paul Merage School of Business
"GILMOUR, L.",Lindsay E Gilmour,lgilmour,Arts-Dance
"GIVARGIS, T.",Tony Digaleh Givargis,givargis,Computer Science
"GIVEN, J.B.",James B Given,jbgiven,History
"GLABE, C.",Charles Glabe,cglabe,Molecular Biology & Biochemistry
"GLAZER, A.",Amihai Glazer,aglazer,Economics
"GLYNN, L.",Liz Glynn,meglynn,Arts-Studio Art
"GODDEN, R.",Richard Godden,rgodden,English
"GOHEEN, D.S.",Douglas-Scott Goheen,goheen,Arts-Drama
"GOLDBERG, D.",David Theo Goldberg,goldberg,Comparative Literature
"GOLDBERG, R.",Rachel E Goldberg,goldber1,Sociology
"GOLDBERG, W.",Wendy A Goldberg,wagoldbe,Psychological Science
"GOLDBRING, I.",Isaac M Goldbring,igoldbri,Mathematics
"GOLDSTEIN, S.",Steven A N Goldstein,sgoldst2,VC Health Affairs Administration
"GOLOB, B.",Brandon Bo Golob,bgolob,"Criminology, Law & Society"
"GONEN, S.",Shane Gonen,gonens,Molecular Biology & Biochemistry
"GONZALEZ, G.",Gilbert G Gonzalez,gggonzal,Social Sciences Undergraduate Student Affairs
"GOODMAN, S.",Sara B Goodman,swgood,Political Science
"GOODMAN-GRUEN, D.",Deborah Goodman-Gruen,goodmand,Epidemiology & Biostats Faclty
"GOODRICH, M.",Michael T Goodrich,goodrich,Computer Science
"GOODRIDGE, S.",Shane M Goodridge,sgoodrid,Education
"GOODWIN, M.",Michele B Goodwin,goodwin,School of Law
"GORODETSKI, A.",Anton Gorodetski,asgor,Mathematics
"GORODETSKY, A.",Alon A Gorodetsky,gorodeta,Chemical & Biomolecular Engineering
"GOTTFREDSON, M.",Michael Ryan Gottfredson,gottfred,"Criminology, Law & Society"
"GOULDEN, M.",Michael L Goulden,mgoulden,Earth System Science
"GOULDING, C.",Celia Goulding,cgouldin,Molecular Biology & Biochemistry
"GRADY, K.",Kyle Grady,gradyk1,English
"GRAHAM, J.",John D Graham,jdgraham,Facilities Management
"GRANGER, D.",Douglas Alan Granger,dagrange,Psychological Science
"GRANGER, R.H.",Richard H Granger,granger,Computer Science
"GRANT LUDWIG, L.",Lisa Grant Ludwig,lgrant,Population Health & Disease Prevention
"GRANT, S.",Stanley B Grant,sbgrant,Civil & Environmental Engineering
"GRATTON, E.",Enrico Gratton,egratton,Biomedical Engineering
"GREEBAN, E.",Elizabeth Louise Greeban,egreeban,Education
"GREEN, K.",Kim Green,kngreen,Neurobiology and Behavior
"GREEN, M.",Michael M Green,mgreen,Electrical Engineering & Computer Science
"GREEN, M.",Michael T Green,michatg1,Molecular Biology & Biochemistry
"GREENBERG, S.",Sean Greenberg,greenbes,Philosophy
"GREENBERGER, E.",Ellen Greenberger,egreenbe,Psychological Science
"GREENE, F.",Frederick W Greene,fwgreene,Arts-Music
"GREENHALGH, S.",Susan Greenhalgh,smgreenh,Anthropology
"GRIFFIN, C.",Charlotte M Griffin,charlotg,Arts-Dance
"GRIFFIN, S.",Shawn Patrick Griffin,spgriffi,Clinical Pharmacy Practice
"GRILL, J.",Joshua D Grill,jgrill,SOM - Psychiatry & Human Behavior
"GRIMES, N.",Nicole E Grimes,ngrimes,Arts-Music
"GROFMAN, B.",Bernard N Grofman,bgrofman,Political Science
"GROSBERG, A.",Anna Grosberg,grosberg,Biomedical Engineering
"GROSS, D.",Daniel M Gross,dgross,English
"GROSS, S.",Steven P Gross,sgross,Developmental and Cell Biology
"GROSSMAN, E.",Emily D Grossman,grossman,Cognitive Science
"GUAN, Z.",Zhibin Guan,zguan,Chemistry
"GUARINO, J.",Jody L Guarino,jguarino,Education
"GUENTHER, A.",Alex B Guenther,aguenthe,Earth System Science
"GUERRA, A.",Arnold Guerra,aguerra,Physics and Astronomy
"GUERRA, N.",Nancy Guerra,nguerra1,Psychological Science
"GUI, L.",Luyi Gui,luyig,Paul Merage School of Business
"GUIDOTTI, P.",Patrick Quirino Guidotti,pguidott,Mathematics
"GUILFOYLE, S.",Susan Guilfoyle,sguilfoy,Education
"GUINDANI, M.",Michele Guindani,mguindan,Statistics
"GULLABA, A.",Alberto D Gullaba,agullaba,English
"GULSEN, G.",Gultekin Gulsen,ggulsen,SOM - Radiological Sciences
"GUO, Q.",Qitao Guo,guoq,History
"GUO, Y.",Yuqing Guo,gyuqing,Sue & Bill Gross School of Nursing
"GUPTA, R.",Ranjan Gupta,ranjang,SOM - Orthopaedic Surgery
"GUSTAFSON, K.",Kaaryn Solveig Gustafson,ksgustaf,School of Law
"GUTHRIE, E.",Elizabeth M Guthrie,eguthrie,European Languages and Studies
"GUYMON, G.L.",Gary L Guymon,glguymon,Civil & Environmental Engineering
"GUZOWSKI, J.",John F Guzowski,jguzowsk,Neurobiology and Behavior
"Gonzalez, P.",Pablo Lara Gonzalez,plaragon,Developmental and Cell Biology
"Gould, J.",Jon B Gould,jbgould,Social Ecology Administration
"Gradu, M.",Mircea Gradu,mgradu,Mechanical & Aerospace Engineering
"Guney, S.",Sule Guney,sguneysc,Psychological Science
"HAAS, L.",Lynda Haas,lhaas,English
"HAGGINS, B.",Bambi Lynn Haggins,bhaggins,Film & Media Studies
"HALBROOK, C.",Christopher James Halbrook,chalbroo,Molecular Biology & Biochemistry
"HALL, C.",Chad M Hall,chall1,Arts-Dance
"HALL, J.",James E Hall,jhall,SOM - Physiology & Biophysics
"HAMBER, H.",Herbert Hamber,hhamber,Physics and Astronomy
"HAMDY, S.",Sherine Hamdy,shamdy,Anthropology
"HAMKALO, B.A.",Barbara A Hamkalo,bahamkal,Molecular Biology & Biochemistry
"HAMMEL, S.",Stephan A Hammel,hammels,Arts-Music
"HAN, S.",Sora Y Han,sorayh,"Criminology, Law & Society"
"HANESSIAN, S.",Stephen Hanessian,shanessi,Pharmaceutical Sciences
"HANSELMAN, P.",Paul Magnus Hanselman,phanselm,Sociology
"HANSEN, J.",Janice L Hansen,hansenj,Education
"HARDING, M.",Matthew C Harding,harding1,Economics
"HARDT, H.",Heidi Frances Hardt,hhardt,Political Science
"HARE, M.",Matthew J Hare,harem,Arts-Music
"HARNELL, J.",Jason Harnell,jharnell,Arts-Music
"HARRIES, M.",Martin Harries,mharries,English
"HARRIS, C.",Christopher Paul Harris,cpharri1,Global & International Studies
"HARRIS, I.",Ian G Harris,iharris,Computer Science
"HART, G.",Gail K Hart,gkhart,European Languages and Studies
"HARVEY, G.",George C Harvey,gcharvey,Arts-Drama
"HARVEY, S.",Sandra L Harvey,slharvey,African American Studies
"HATCH, K.",Kristen Hatch,khatch,Film & Media Studies
"HAUN, J.",Jered Haun,haunj,Biomedical Engineering
"HAWKINS, B.",Bradford A Hawkins,bhawkins,Ecology & Evolutionary Biology
"HAYASAKI, E.",Erika Hayasaki,ehayasak,English
"HAYES, G.",Gillian R Hayes,hayesg,Graduate Division
"HAYES, W.",Wayne B Hayes,whayes,Computer Science
"HAYNES, D.",Douglas M Haynes,dhaynes,Office of Inclusive Excellence
"HEALEY, G.",Glenn E Healey,ghealey,Electrical Engineering & Computer Science
"HEATONSMITH, G.",Gary Dwayne Heatonsmith,gheatons,Arts-Music
"HECKHAUSEN, J.",Jutta Heckhausen,heckhaus,Psychological Science
"HEIDBRINK, W.",William W Heidbrink,wwheidbr,Physics and Astronomy
"HEIS, J.",Jeremy R Heis,jheis,Logic & Philosophy of Science
"HELFER, R.",Rebeca Helfer,rhelfer,English
"HELMREICH, J.",Jeffrey S Helmreich,jhelmrei,Philosophy
"HEMMINGER, J.",John C Hemminger,jchemmin,Chemistry
"HEMPEL, C.",Carrie Louise Hempel,hempelc,School of Law
"HENDERSON, A.",Andrea K Henderson,akhender,English
"HERBERT, J.",James Herbert,jdherb,Art History
"HERNANDEZ, A.",Aleah H Hernandez,hernanda,Classics
"HERNANDEZ, E.",Edwin A Peraza Hernandez,eperazah,Mechanical & Aerospace Engineering
"HEYDARI, P.",Payam Heydari,payam,Electrical Engineering & Computer Science
"HEYDUK, A.",Alan F Heyduk,aheyduk,Chemistry
"HEZARI, H.",Hamid Hezari,hezari,Mathematics
"HICKOK, G.",Gregory S Hickok,gshickok,Cognitive Science
"HICKS, J.",James W Hicks,jhicks,Ecology & Evolutionary Biology
"HIGHSMITH, A.",Andrew Robert Highsmith,highsmia,History
"HILDERBRAND, L.",Lucas Hilderbrand,lhilderb,Film & Media Studies
"HILL, D.",Donald David Hill,donhill,Arts-Drama
"HIPP, J.",John R Hipp,hippj,"Criminology, Law & Society"
"HIRONAKA, A.",Ann M Hironaka,hironaka,Sociology
"HIRSCHBERG, D.",Dan Hirschberg,dhirschb,Computer Science
"HIRSHLEIFER, D.",David A Hirshleifer,dhirshle,Paul Merage School of Business
"HO, W.",Wilson Ho,wilsonho,Physics and Astronomy
"HOCHBAUM, A.",Allon Israel Hochbaum,hochbaum,Materials Science and Engineering
"HOFFMAN, D.",Donald D Hoffman,ddhoff,Cognitive Science
"HOFFMAN, P.",Paul L Hoffman,phoffman,School of Law
"HOFFMANN, F.",Franz J Hoffmann,fjhoffma,Developmental and Cell Biology
"HOLLOWELL, J.",John W Hollowell,jwhollow,English
"HOLMAN, E.",Ellen Alison Holman,aholman,Sue & Bill Gross School of Nursing
"HOLTON, A.",Amanda J Holton,abrindle,Chemistry
"HOOKER, M.",Michael Kenneth Hooker,mhooker,Arts-Drama
"HOPFER, S.",Suellen Hopfer,shopfer,"Health, Society and Behavior"
"HOPSTER, H.",Herbert J Hopster,hhopster,Physics and Astronomy
"HOSHI, N.",Naoto Hoshi,nhoshi,Pharmaceutical Sciences
"HOUSTON, K.",Kristine Houston,houstonk,Education
"HOWELL, T.",Travis Howell,thowell1,Paul Merage School of Business
"HOYT, M.",Michael A Hoyt,mahoyt,Population Health & Disease Prevention
"HRUBY, J.",Jeffrey J Hruby,jhruby,Center for Educational Partnerships
"HSIEH, R.",Ruohmei Hsieh,rhsieh,East Asian Studies
"HSU, F.",Frank P K Hsu,fpkhsu,SOM - Neurosurgery
"HSU, K.",Kuo-Lin Hsu,kuolinh,Civil & Environmental Engineering
"HU, Y.",Yilin Hu,yilinh,Molecular Biology & Biochemistry
"HU, Y.",Ying Hu,huying,East Asian Studies
"HUANG, C.",Chong Huang,chongh2,Paul Merage School of Business
"HUANG, L.",Lan Huang,lanhuang,SOM - Physiology & Biophysics
"HUANG, M.",Martin W Huang,mwhuang,East Asian Studies
"HUBER, K.",Kenneth Barton Huber,khuber,Mathematics
"HUFFMAN, M.",Matthew L Huffman,mhuffman,Sociology
"HUGHES, B.",Bradley S Hughes,bhughes,Ecology & Evolutionary Biology
"HUGHES, C.",Christopher C Hughes,cchughes,Molecular Biology & Biochemistry
"HUGHES, D.",D'lorah L Hughes,dlhughes,School of Law
"HUI, E.",Elliot Hui,eehui,Biomedical Engineering
"HUNDLE, A.",Anneeth Kaur Hundle,ahundle,Anthropology
"HURLEY, K.",Keri Hurley,khurleyk,Clinical Pharmacy Practice
"HUSZTI, J.",Joseph B Huszti,jbhuszti,Arts-Music
"HUTTEGGER, S.",Simon Huttegger,shuttegg,Logic & Philosophy of Science
"HUXMAN, T.",Travis E Huxman,thuxman,Ecology & Evolutionary Biology
"HYDE, K.",Karajean Hyde,khyde,Center for Educational Partnerships
"HYLAND, M.",Michael F Hyland,hylandm,Civil & Environmental Engineering
"HYUN, H.",Hyunyoung Hyun,hhyun,East Asian Studies
"Hammer, T.",Tobin J Hammer,hammert,Ecology & Evolutionary Biology
"Hardy, S.",Scott E Hardy,shardy,Occupational & Environ Health
"Hernandez-Torres, I.",Ivette Hernandez-Torres,ivetteh,Spanish & Portuguese
"Ho, J.",Joanna L Y Ho,jlho,Paul Merage School of Business
"Hoffer, A.",Alan R Hoffer,ahoffer,Education
"IBRAHIM, M.",Mustafa Ibrahim,mustafai,Computer Science
"IGLER, D.",David Bruce Igler,digler,History
"IHLER, A.",Alexander Thomas Ihler,aihler,Computer Science
"IMADA, A.",Adria Lyn Imada,aimada,History
"IMANI, M.",Mohsen Imani,mohseni,Computer Science
"INGRAM, H.",Helen Ingram,hingram,Urban Planning & Public Policy
"INLAY, M.",Matthew Inlay,minlay,Molecular Biology & Biochemistry
"IRANI, S.",Sandra S Irani,ssirani,Computer Science
"ITURRIAGA, N.",Nicole Aimee Iturriaga,iturrian,"Criminology, Law & Society"
"IVANISVILI, P.",Paata Ivanisvili,pivanisv,Mathematics
"IVY, A.",Autumn Skye Ivy,aivy,SOM - Pediatrics
"IZENBERG, O.",Oren J Izenberg,oizenber,English
"JABBARI, F.",Faryar Jabbari,fjabbari,Mechanical & Aerospace Engineering
"JACKSON, J.B.",James Bryan Jackson,jack,Arts-Studio Art
"JACKSON, J.B.",Jesse Colin Jackson,jessecj,Arts-Studio Art
"JACKSON, V.",Virginia W Jackson,vwjackso,English
"JAEGGI, S.",Susanne Madlaina Jaeggi,smjaeggi,Education
"JAFAR, S.",Syed Ali Jafar,syed,Electrical Engineering & Computer Science
"JAFARI, M.",Mahtab Jafari,mjafari,Pharmaceutical Sciences
"JAFARKHANI, H.",Hamid Jafarkhani,hamidj,Electrical Engineering & Computer Science
"JAIN, R.",Ramesh Chandra Jain,rcjain,Computer Science
"JAMES, A.",Aaron James,ajjames,Philosophy
"JAMES, A.",Anthony A James,aajames,SOM - Microbiology & Molecular Genetics
"JAMES, W.",Winston James,wjames,History
"JAMNER, L.",Larry Jamner,ljamner,Psychological Science
"JANDA, K.",Kenneth C Janda,kcjanda,Chemistry
"JARECKI, S.",Stanislaw Michal Jarecki,sjarecki,Computer Science
"JARRATT, S.",Susan Carole Jarratt,sjarratt,Comparative Literature
"JARVO, E.",Elizabeth R Jarvo,erjarvo,Chemistry
"JAYAKRISHNAN, R.",R Jayakrishnan,rjayakri,Civil & Environmental Engineering
"JELIAZKOV, I.",Ivan Jeliazkov,ivan,Economics
"JENKINS, B.",Brian C Jenkins,bcjenkin,Economics
"JENKINS, J.",Jade Vanessa Marcus Jenkins,jvjenkin,Education
"JENKINS, U.",Ulysses S Jenkins,ujenkins,Arts-Studio Art
"JENKS, A.",Angela C Jenks,ajenks,Anthropology
"JENNESS, V.",Valerie Jenness,jenness,"Criminology, Law & Society"
"JEON, J.",Joseph Jonghyun Jeon,jjjeon,English
"JESTER, J.",James V Jester,jjester,Ophthalmology Clinical
"JHA, P.",Priyaranjan Jha,pranjan,Economics
"JIANG, C.",Chenyang Jiang,sjiang,Civil & Environmental Engineering
"JIMENEZ, D.",Dalie Jimenez,daliej,School of Law
"JIN, W.",Wenlong Jin,wjin,Civil & Environmental Engineering
"JITOMIRSKAYA, S.",Svetlana Jitomirskaya,szhitomi,Mathematics
"JOHNSON, A.",Adriana Michele Campos Johnson,adrianaj,Comparative Literature
"JOHNSON, A.",Ariyan Johnson,ariyanj,Arts-Dance
"JOHNSON, K.",Kathleen Rose Johnson,kathleej,Earth System Science
"JOHNSON, M.P.",Michael P Johnson,mpjohnso,History
"JOHNSON, P.",Perry Johnson,pjohnso3,Mechanical & Aerospace Engineering
"JOHNSON, V.",Victoria Elaine Johnson,vejohnso,Film & Media Studies
"JOHNSON, W.",Wesley O Johnson,wjohnson,Statistics
"JOHNSTON, J.",Jeffrey Michael Johnston,jmjohnst,Education
"JOLLEY, S.",Stephen Nicholas Jolley,sjolley,Philosophy
"JONES, J.",James A Jones,jajones,Informatics
"JONES, J.",John D Jones,johndj,Clinical Pharmacy Practice
"JORDAN, S.",Scott A Jordan,sjordan,Computer Science
"JORION, P.",Philippe Jorion,pjorion,Paul Merage School of Business
"JOSEPH, J.",John Edward Joseph,johnj2,Paul Merage School of Business
"JUHASZ, T.",Tibor Juhasz,tjuhasz,Ophthalmology Clinical
"JUN, A.",Angela H Jun,ajun,Sue & Bill Gross School of Nursing
"JUN, S.",Sang Woo Jun,swjun,Computer Science
"Joe, M.",Melanie D Joe,mdjoe,Inpatient Pharmacy
"KADANDALE, P.",Pavan Kadandale,pkadanda,Molecular Biology & Biochemistry
"KALANTAR-ZADEH, K.",Kamyar Kalantar-Zadeh,kkz,SOM - Department of Medicine
"KAMIL, M.",Meryem Ashrae Kamil,mkamil,Film & Media Studies
"KAMINSKI, M.",Marek Kaminski,mkaminsk,Political Science
"KANG, H.",Hosun Kang,hosunk,Education
"KANG, L.",Laura Hyun Yi Kang,hykang,Gender and Sexuality Studies
"KAPLAN, N.",Nathan Carroll Kaplan,nckaplan,Mathematics
"KAPLINGHAT, M.",Manoj Kaplinghat,mkapling,Physics and Astronomy
"KARANIKA, A.",Andromache Karanika,karanika,Classics
"KASK, K.",Kalev Kask,kkask,Computer Science
"KASSAS, Z.",Zak M Kassas,zkassas,Electrical Engineering & Computer Science
"KATRAK, K.",Ketu H Katrak,khkatrak,Arts-Drama
"KAWAS, C.",Claudia Helen Kawas,ckawas,SOM - Neurology
"KAY, D.",David G Kay,kay,Informatics
"KAYE, D.",David A Kaye,dkaye,School of Law
"KEELER, C.",Charlene Joan Keeler,ckeeler,English
"KEEPERMAN, J.",Jonathan I Keeperman,jkeeperm,English
"KEEPERMAN, T.",Tarah M Keeperman,tkeeperm,English
"KELLER, L.",Lynn Robin Keller,lrkeller,Paul Merage School of Business
"KELLER, S.",Summer Elizabeth Keller,skeller1,Education
"KELLEY, P.",Pamela A Kelley,pkelley,Social Sciences Undergraduate Student Affairs
"KENT, B.",Bonnie D Kent,bkent,Philosophy
"KEYAK, J.",Joyce H Keyak,jhkeyak,SOM - Radiological Sciences
"KHAN, A.",Alya Khan,alyak,SOM - Department of Medicine
"KHARGONEKAR, P.",Pramod P Khargonekar,pkhargon,Office of Research
"KHERADVAR, A.",Arash Kheradvar,arashkh,Biomedical Engineering
