shortened_name,name,ucinetid,department
"BARRETT, J.",Jeffrey A Barrett,jabarret,Logic & Philosophy of Science
"BARRY, R.",Rachael M Barry,rmbarry,Molecular Biology & Biochemistry
"BARTELL, S.",Scott M Bartell,sbartell,Environmental & Occupational Health - Faculty
"BARTH, A.",Aaron J Barth,barth,Physics and Astronomy
"BARTLETT, J.",Jami L Bartlett,jlbartle,English
"BARTY, C.",Christopher P J Barty,cbarty,Physics and Astronomy
"BARWICK, S.",Steven W Barwick,sbarwick,Physics and Astronomy
"BASOLO, M.",Mary Victoria Basolo,basolo,Urban Planning & Public Policy
"BASSHAM, C.",Cynthia Marie Bassham,cbassham,Arts-Drama
"BASU, S.",Sri Basu,srimayeb,English
"BAUER, A.",Amy M Bauer,abauer,Arts-Music
"BAUM, E.",Emily Lauren Baum,baume,History
"BEAN, F.",Frank D Bean,fbean,Sociology
"BECKER, H.",Henry J Becker,hjbecker,Education
"BECKMANN, M.",Matthew N Beckmann,beckmann,Political Science
"BEIER, K.",Kevin T Beier,kbeier,SOM - Physiology & Biophysics
"BELL, D.",D Bell,dbell,Economics
"BENAVENTE, C.",Claudia Andrea Benavente,benavec1,Pharmaceutical Sciences
"BENCIVENGA, E.",Ermanno Bencivenga,ebencive,Philosophy
"BENDER, M.",Miriam Bender,miriamb,Sue & Bill Gross School of Nursing
"BENFORD, G.",Gregory A Benford,gbenford,Physics and Astronomy
"BENNETT, A.",Albert Bennett,abennett,Ecology & Evolutionary Biology
"BENNETT, F.",Frances L Bennett,fbennett,Arts-Music
"BERBERIAN, H.",Houri Berberian,berberih,History
"BERG, J.",Jill P Berg,jpberg,Sue & Bill Gross School of Nursing
"BERGEMANN, P.",Patrick Bergemann,pbergema,Paul Merage School of Business
"BERK, H.",Hillary L Berk,hberk,"Criminology, Law & Society"
"BERKELHAMER, R.",Rudi C Berkelhamer,rcberkel,Ecology & Evolutionary Biology
"BERNAL, V.",Victoria Woldemikael Bernal,vbernal,Anthropology
"BERNARD, H.",Hans Ulrich Bernard,hbernard,Molecular Biology & Biochemistry
"BERNECKER, S.",Sven Dietrich Bernecker,sberneck,Philosophy
"BERNS, M.",Michael W Berns,mwberns,Beckman Laser Institute
"BERROCAL, V.",Veronica Berrocal,vberroca,Statistics
"BESS, E.",Elizabeth N Bess,enbess,Chemistry
"BEST, N.",Nakia C Best,nbest,Sue & Bill Gross School of Nursing
"BETANCOURT, R.",Roland Betancourt,rbetanc1,Art History
"BIAN, J.",Jianming Bian,bianjm,Physics and Astronomy
"BIC, L.",Lubomir Bic,lbic,OVPTL - Summer Session
"BIC, Z.",Zuzana Bic,zbic,Population Health & Disease Prevention
